player, doubleMill, number3Connect, number2Connect, score
2,False,0,3,5
1,False,1,2,17
1,True,3,10,11
1,False,0,1,3
1,False,1,8,-1
1,False,0,2,0
2,False,0,7,9
1,False,0,4,13
1,False,1,2,0
2,False,0,2,-1
2,False,0,2,-10
2,False,0,1,-3
2,False,1,8,2
1,False,2,5,12
1,False,1,2,-2
2,False,2,7,12
1,False,0,3,3
2,False,0,1,0
1,False,5,19,-1
1,True,4,14,8
1,False,0,3,17
2,False,0,6,-14
2,False,0,1,1
2,False,0,9,9
2,False,2,6,13
2,False,1,7,13
1,False,0,0,-3
1,False,2,13,11
2,False,0,0,2
1,False,1,12,-3
1,False,0,9,-13
1,False,0,0,0
2,False,4,14,9
1,False,0,3,-4
2,False,0,0,2
1,False,2,12,8
2,False,0,5,15
1,False,1,8,13
1,False,0,2,1
1,False,0,0,0
1,False,1,5,-11
2,False,0,7,3
1,False,0,1,18
1,False,1,3,15
1,False,2,11,10
2,False,1,9,14
1,False,0,0,4
2,False,0,0,2
2,True,1,9,11
2,False,0,0,3
1,False,0,9,-11
2,False,0,0,-4
1,False,1,7,-12
1,False,0,2,3
1,False,1,4,16
2,False,0,9,-2
1,False,2,7,13
1,False,1,8,12
1,False,2,10,13
2,False,0,3,2
1,False,0,6,-4
2,True,5,19,8
2,False,2,10,10
1,False,1,7,4
1,False,0,0,0
1,False,1,9,13
1,False,0,2,15
2,False,2,7,13
2,False,0,6,-4
1,False,1,5,1
2,False,0,1,0
2,False,1,2,17
1,False,0,1,2
1,False,0,2,-4
1,True,1,12,8
2,False,1,4,0
1,False,1,7,12
1,False,1,2,18
2,False,0,2,-1
2,False,3,10,14
1,False,0,5,-3
2,False,0,7,12
1,False,0,4,16
1,False,0,3,-2
1,False,0,0,3
2,False,1,7,3
2,True,2,14,7
2,False,0,9,11
2,False,1,11,8
2,False,0,11,-11
1,False,2,17,-7
1,False,1,11,11
1,False,8,25,4
1,False,0,1,18
2,False,1,6,13
2,False,0,0,0
1,False,0,1,-1
1,False,4,17,8
2,False,0,2,1
1,False,0,0,-3
2,True,1,4,15
1,False,0,7,-2
1,False,0,0,0
2,False,0,6,-4
1,False,0,5,14
1,False,1,7,0
2,False,0,1,2
1,False,0,1,-3
1,False,0,0,-2
2,False,0,2,4
2,False,0,0,-1
2,False,0,7,10
2,False,0,5,11
2,False,1,4,-13
2,False,0,1,2
1,True,4,15,9
1,False,0,1,3
2,False,1,7,0
1,False,1,7,14
2,False,1,4,3
1,False,0,3,10
1,False,0,1,2
2,False,0,4,-3
1,False,1,9,-10
2,False,0,3,-2
1,False,0,0,1
2,False,0,1,4
2,False,0,0,3
2,False,0,1,-18
1,False,1,10,-11
1,False,0,0,-1
2,False,1,7,-12
1,False,1,8,-4
1,True,5,18,7
1,False,2,12,7
2,False,0,2,5
2,False,0,4,-12
2,False,1,8,13
1,False,2,7,14
2,False,0,1,2
1,False,1,4,14
1,False,0,1,-5
2,False,0,0,-1
2,False,1,7,-2
1,False,0,3,2
2,False,0,2,10
2,False,0,2,5
1,False,1,3,-1
2,False,0,0,1
2,False,0,2,-11
2,False,4,21,7
2,False,0,1,-4
1,False,0,0,0
2,False,0,2,14
1,False,1,5,17
1,False,2,10,9
1,True,4,11,12
1,False,0,1,0
1,False,0,4,10
1,False,0,2,16
2,False,0,7,12
2,False,1,3,5
2,False,0,1,-5
1,False,0,4,3
2,False,4,12,11
1,False,6,27,-2
1,False,0,3,2
2,False,0,0,5
2,False,0,1,0
2,False,0,3,4
1,False,2,6,14
2,False,1,5,-13
2,False,0,1,0
1,False,2,10,-1
1,False,1,7,6
2,False,0,0,-2
1,False,0,1,0
2,False,1,3,13
1,True,3,16,8
1,False,1,7,16
2,True,2,18,8
1,False,0,6,14
2,False,1,8,13
1,False,0,7,11
1,False,1,4,7
2,False,2,11,11
1,False,0,2,-4
2,False,0,1,-3
1,False,0,0,-1
2,False,0,1,5
2,False,0,11,-9
1,False,0,1,2
2,False,2,10,12
1,False,0,2,-2
1,False,0,2,2
1,False,0,3,3
1,False,0,1,0
2,False,0,5,2
2,False,1,9,12
1,False,0,0,-3
2,False,2,6,2
1,False,0,0,0
1,False,1,5,14
2,False,0,2,13
1,False,1,3,-1
1,False,2,9,10
2,False,0,2,-2
2,False,0,1,-3
2,False,0,0,-2
1,False,0,4,-2
2,False,0,1,2
2,False,1,4,5
1,False,1,4,3
1,False,1,9,13
2,False,1,5,15
1,False,0,0,2
1,False,7,20,5
2,False,0,10,-11
2,False,2,15,-8
2,False,0,4,14
1,False,0,0,-3
1,False,0,0,-1
2,False,0,1,2
2,False,0,6,-4
1,False,2,10,13
1,True,1,7,14
1,False,0,1,-2
1,True,2,8,11
2,False,1,2,17
1,False,1,8,11
1,False,0,11,-11
2,False,0,0,2
2,False,0,2,-3
1,False,1,9,11
2,True,3,9,12
1,False,0,4,0
2,False,0,1,0
2,False,0,0,0
2,False,2,11,1
2,False,0,2,5
2,True,3,16,10
1,False,1,9,1
1,False,1,2,-2
2,False,0,1,2
2,False,0,1,-3
1,False,0,8,8
2,False,0,5,0
1,False,0,0,-5
2,False,1,5,12
1,True,1,9,14
1,False,1,4,-5
1,False,0,1,4
1,False,0,0,1
1,False,0,3,-12
1,False,0,8,12
2,False,1,4,14
2,True,1,7,14
2,False,1,5,-2
2,False,0,0,0
1,False,0,4,14
1,False,2,11,-6
1,False,3,9,13
2,True,2,11,10
1,False,0,0,2
2,False,0,0,-2
1,False,1,4,0
2,False,0,1,-4
1,False,0,4,-13
2,False,1,3,5
1,False,0,1,4
2,False,2,12,2
1,False,0,1,17
1,True,2,8,14
1,True,1,8,10
2,False,1,16,8
1,False,0,3,13
1,False,0,9,-13
1,False,1,10,11
1,False,1,2,-2
1,False,0,5,12
2,True,2,8,13
2,False,1,10,10
1,False,0,1,0
2,False,0,1,0
1,False,0,2,-2
2,False,0,0,-4
2,False,2,9,10
1,False,0,6,12
2,False,0,0,2
1,False,0,3,6
1,False,0,2,4
1,False,1,2,18
2,False,2,7,4
1,False,0,2,2
2,False,3,16,8
2,False,1,5,4
1,False,0,0,4
1,False,1,6,14
1,False,2,14,7
2,False,1,5,4
2,False,0,0,2
2,False,0,5,-4
2,False,1,2,-12
1,False,1,4,-3
2,False,1,3,2
1,False,0,0,2
2,False,0,2,2
1,False,0,3,-4
2,False,1,6,13
2,False,0,3,-4
1,False,1,11,12
1,False,1,2,16
1,False,0,1,3
1,True,4,13,12
2,False,1,4,17
2,False,2,19,6
1,False,1,4,15
2,True,2,7,11
1,True,7,20,7
2,False,0,4,7
2,False,0,2,-3
2,False,0,1,-2
1,False,0,2,0
1,True,3,13,10
2,False,0,1,2
2,False,0,3,11
2,False,0,3,0
1,False,0,3,-2
2,True,4,20,5
2,True,3,15,9
1,True,1,8,11
2,False,0,0,3
1,False,0,0,-2
2,False,0,4,-3
2,False,0,0,-2
2,False,0,4,6
1,False,1,2,15
1,False,0,5,4
2,False,3,14,9
2,False,1,7,-10
2,False,0,3,-11
2,False,1,8,13
1,False,1,10,2
2,False,1,6,12
2,False,1,5,14
1,False,1,10,11
1,False,0,0,2
2,False,0,1,-4
2,False,1,8,2
1,False,0,8,0
1,False,0,1,0
1,False,0,6,7
1,False,1,7,2
1,False,2,12,10
2,False,0,1,5
2,False,0,2,-2
2,False,1,8,13
1,False,0,1,2
1,False,0,3,17
1,True,3,15,8
1,True,1,14,11
1,False,0,0,0
2,False,0,3,2
2,False,0,9,-10
1,False,0,0,3
1,False,0,0,1
2,False,0,0,2
1,False,0,1,4
1,False,0,3,14
2,False,0,4,2
2,True,2,15,6
1,True,3,16,8
2,False,0,1,3
1,False,2,9,8
1,False,1,5,15
2,False,0,7,2
1,False,0,1,0
1,False,1,7,4
1,False,0,0,2
2,False,1,8,10
1,False,1,5,13
1,False,0,1,0
1,False,3,20,-2
1,False,0,1,4
1,False,0,1,18
2,False,0,1,-4
1,False,0,0,0
2,False,0,1,5
2,False,0,3,0
1,False,2,11,12
2,False,1,6,12
1,False,0,0,0
2,False,4,15,-2
2,False,0,1,-4
2,False,0,1,1
2,False,0,0,-2
1,False,1,3,15
1,False,0,4,-1
2,False,0,0,0
1,True,1,7,11
1,False,1,5,5
1,False,0,0,3
2,False,1,2,16
2,False,2,13,10
2,False,1,8,-7
1,False,1,9,2
2,False,4,11,11
1,False,0,4,3
2,False,0,6,-10
2,False,1,2,17
2,False,0,6,2
2,False,0,3,-2
2,False,2,11,11
1,False,1,7,0
2,False,0,1,3
1,False,2,8,0
1,False,1,4,16
1,False,0,0,0
2,True,3,12,11
2,False,0,1,12
2,False,1,7,-1
1,False,0,0,2
1,False,0,1,3
2,False,0,3,-14
1,False,0,1,2
2,False,0,1,-2
2,False,0,0,-1
1,False,3,14,-7
2,False,0,1,4
1,False,1,5,15
1,False,1,6,-3
1,False,0,1,0
1,False,2,11,-2
1,False,1,7,-2
2,False,2,11,13
1,False,2,9,11
1,False,4,13,-2
2,False,3,9,12
2,False,3,19,5
1,False,0,3,1
2,False,2,11,9
2,False,0,5,-1
2,False,3,12,9
2,False,0,2,-1
1,False,0,1,-6
1,False,0,4,-3
1,False,0,2,1
2,False,1,8,11
1,False,0,1,-3
1,False,0,1,16
2,False,0,1,4
1,False,2,16,8
2,False,1,3,15
1,False,0,1,15
1,False,0,0,0
1,False,0,7,-2
2,False,0,5,-8
1,False,0,1,-5
1,False,1,9,10
2,False,5,22,6
1,False,1,14,-9
1,False,1,8,5
2,False,0,7,13
2,True,6,18,5
2,False,0,0,2
2,False,0,2,1
1,False,2,10,-11
2,False,1,8,-13
1,False,0,1,5
2,False,1,5,10
2,False,0,4,2
1,False,0,0,17
1,False,0,3,4
1,False,0,1,2
1,False,1,2,17
1,False,0,3,-13
2,False,1,2,16
2,False,1,7,-2
2,False,0,1,-15
2,False,1,7,3
2,False,0,1,-4
2,False,0,1,-2
2,False,1,3,-7
1,False,1,9,14
1,False,0,4,15
1,False,0,0,2
2,False,1,3,-5
1,False,1,11,12
1,False,0,5,3
1,False,0,2,1
2,False,1,4,4
2,False,0,1,0
1,True,4,13,10
1,False,0,1,3
2,False,0,1,0
1,False,0,3,0
2,False,0,4,-13
1,True,3,16,9
2,False,0,1,0
1,True,3,15,11
2,False,0,0,2
1,False,0,3,-3
2,False,1,2,16
1,False,2,10,-1
1,False,0,3,14
2,False,0,0,0
2,False,0,0,2
2,False,2,8,-11
1,False,0,5,-14
2,False,1,9,11
1,False,5,16,9
2,False,0,4,-4
1,False,0,7,-3
1,False,1,8,13
2,False,0,0,2
1,False,0,4,-4
1,False,0,4,12
1,False,1,13,-5
2,False,2,11,10
1,False,5,12,12
1,False,2,10,-1
1,False,0,3,11
1,False,0,3,1
2,False,0,1,4
1,False,0,6,3
1,False,1,6,-13
2,False,0,0,-11
1,False,0,2,3
2,False,0,2,-12
1,False,0,1,-4
2,False,0,1,5
2,False,0,1,-2
1,False,0,11,11
2,False,1,6,-2
1,False,2,7,12
2,False,6,19,6
2,False,0,0,-2
1,False,1,5,-4
1,False,3,9,14
2,False,0,0,3
2,False,0,0,3
2,False,0,1,-4
1,True,5,23,5
1,False,0,4,3
1,False,2,12,9
1,False,1,6,14
2,False,1,9,-3
2,False,0,1,-3
1,False,0,1,0
2,False,0,3,-4
2,False,0,5,14
2,False,0,2,5
2,False,1,6,16
1,False,1,6,13
2,False,5,14,10
1,False,0,14,8
1,False,0,3,2
2,True,1,7,13
1,False,1,7,14
1,False,1,8,9
2,False,0,2,2
1,False,0,5,16
1,False,0,9,11
2,False,0,1,0
2,False,1,2,-6
1,False,3,17,-7
1,False,0,1,0
1,False,0,1,-2
2,False,0,0,2
2,False,0,3,-2
1,False,0,4,5
1,False,0,0,-3
1,False,0,7,14
2,False,1,3,15
2,False,0,7,0
2,False,3,16,-5
1,False,0,1,5
2,False,1,6,-4
2,False,1,5,12
1,False,0,1,-1
1,False,1,11,9
1,False,0,1,5
2,False,1,7,14
2,False,0,2,2
1,False,0,1,2
1,False,1,2,17
1,False,1,2,16
1,False,0,1,18
1,False,0,4,-5
2,True,5,17,6
2,False,1,4,-12
2,False,0,4,10
1,True,3,13,7
1,False,0,1,2
2,False,0,3,-4
2,False,0,0,3
1,False,1,3,-15
2,False,2,5,-3
1,False,1,5,-14
2,False,0,0,4
2,False,2,8,11
2,False,0,1,2
2,False,1,6,13
2,False,0,4,-11
1,False,0,4,-10
1,False,6,23,-3
1,False,1,6,-2
1,False,0,4,-4
2,False,3,13,-1
1,False,3,13,11
1,False,0,3,1
2,False,0,1,-5
2,False,0,0,-17
2,False,1,6,15
2,False,0,0,2
2,False,0,9,13
2,False,0,1,4
2,False,2,7,13
1,False,1,12,11
2,False,0,2,2
1,False,0,6,5
1,False,0,4,4
1,False,0,2,4
1,True,3,6,11
2,False,1,3,2
2,False,0,5,-5
2,False,2,7,-4
1,False,0,0,2
1,False,0,7,12
1,False,0,0,2
1,False,0,2,15
1,False,0,1,18
2,False,0,2,8
1,False,0,1,2
2,False,0,6,-5
1,False,2,7,14
1,False,1,9,13
2,False,2,7,-3
1,True,2,13,9
2,False,0,3,3
1,False,1,2,17
2,False,0,2,9
2,True,3,8,13
1,False,1,4,14
2,False,1,7,4
1,False,0,1,3
2,False,0,1,4
2,False,0,1,-4
2,False,3,13,8
2,False,0,2,6
2,False,0,1,18
2,False,1,2,18
2,False,0,5,-13
2,False,0,4,-11
1,False,1,10,13
1,False,0,1,-2
2,False,2,9,-7
2,False,2,13,11
1,False,0,1,5
2,False,0,2,14
1,False,0,3,0
2,False,4,15,9
1,True,1,11,8
1,False,0,3,16
2,False,0,2,-4
2,False,0,0,0
2,False,1,4,-2
1,True,2,8,10
2,False,0,1,8
2,False,0,1,3
1,False,1,5,-12
1,False,1,5,15
2,False,0,1,2
1,False,0,1,2
1,False,1,9,10
2,False,0,1,0
2,False,0,1,3
2,False,0,1,5
1,False,0,6,5
1,False,0,5,-1
1,False,0,1,4
1,False,0,0,-1
2,False,0,2,-15
1,False,2,8,2
2,False,0,5,14
2,False,1,10,-11
2,False,0,3,4
2,False,0,3,-14
2,False,0,1,2
2,False,2,7,-11
1,False,0,3,4
2,False,0,4,2
1,False,2,15,-8
1,False,1,10,-11
2,False,1,8,3
2,False,0,4,-1
2,False,1,8,12
2,False,2,10,14
2,False,1,5,-1
1,False,0,0,0
2,False,0,1,-3
1,False,3,16,7
2,False,1,7,14
1,False,0,2,-6
2,False,0,10,12
1,False,1,3,3
1,False,0,0,2
2,False,1,4,4
1,False,1,10,11
1,False,0,0,-1
2,False,3,15,-8
2,False,1,5,13
2,False,0,3,15
1,False,0,2,4
1,False,0,5,-2
1,False,0,1,-3
2,False,0,1,4
1,False,0,5,4
1,False,1,6,-5
2,False,1,9,11
1,False,1,2,-3
2,False,0,0,18
1,False,0,1,4
1,False,2,8,-12
1,False,0,5,4
2,False,0,0,3
1,False,1,3,-4
1,True,3,8,13
2,False,0,3,-9
2,False,0,2,16
1,False,0,7,12
2,False,1,10,2
1,False,3,12,12
1,False,0,5,4
2,False,0,4,3
2,True,3,16,7
2,False,0,3,1
1,False,0,1,18
2,False,2,4,2
1,False,0,3,12
2,False,0,6,4
2,False,0,1,5
1,False,1,7,11
1,False,2,12,11
2,False,0,2,-13
2,False,0,1,4
1,False,0,1,2
2,False,0,1,3
1,False,0,2,15
2,False,0,8,-3
1,False,0,6,1
2,False,0,5,11
2,False,0,0,-3
2,False,0,2,-2
1,True,2,5,11
2,False,0,2,5
1,False,0,1,-1
1,True,2,10,14
2,False,0,4,-1
2,False,1,2,17
1,False,0,4,14
1,False,2,12,9
2,False,0,1,6
2,False,2,13,-8
2,False,0,1,2
1,False,2,11,9
2,False,4,16,6
1,False,1,2,16
2,False,0,3,3
2,False,0,0,-11
2,False,1,5,13
1,False,0,0,1
2,False,0,0,-4
1,False,0,3,2
2,False,0,1,5
1,False,1,4,13
2,False,0,5,4
2,False,0,1,2
1,False,0,3,3
1,False,0,1,4
2,False,0,0,2
2,False,0,1,2
2,False,1,7,15
2,False,1,7,2
1,False,0,1,18
1,False,0,3,-2
2,False,0,1,0
1,False,0,1,4
1,False,0,1,17
2,False,0,0,2
1,False,0,1,4
1,False,1,12,8
2,False,1,5,4
1,False,0,0,2
2,False,0,0,3
2,False,1,11,11
1,False,0,3,-18
1,False,0,0,2
2,False,2,11,7
2,True,1,11,11
2,True,2,11,11
1,False,0,1,18
1,False,3,11,11
2,False,2,14,-8
2,False,3,12,11
1,False,0,0,-2
2,False,1,9,13
2,False,0,2,-4
1,True,7,20,6
2,False,1,5,-4
2,True,3,21,6
2,False,0,1,5
1,False,0,0,-5
1,False,1,10,8
2,False,0,1,-2
2,False,0,5,0
1,False,5,17,-7
2,False,0,1,-2
1,False,1,7,-10
2,False,1,5,6
1,False,0,0,4
2,False,0,8,12
2,False,0,0,2
2,False,0,2,-2
2,False,1,3,14
1,False,2,11,13
2,True,1,9,11
1,True,4,18,7
1,False,1,2,18
1,False,0,2,-5
1,False,0,5,-9
2,False,0,3,-2
1,False,0,1,2
2,False,0,8,9
2,False,0,13,-8
1,False,2,12,2
2,True,3,10,11
1,False,1,4,5
1,False,0,4,2
2,False,0,3,-3
1,False,0,2,4
1,False,0,3,-2
1,False,3,17,-3
1,False,5,17,8
1,False,0,1,-2
1,False,1,7,15
1,False,2,9,11
1,False,1,6,14
1,False,0,1,2
1,False,1,3,-1
2,False,0,2,-1
1,False,0,1,5
1,False,1,8,1
1,False,1,2,-13
1,False,0,0,1
1,False,1,8,-10
2,False,1,9,12
2,False,0,5,5
1,False,0,4,12
2,False,0,1,2
1,False,0,3,0
2,False,0,1,-2
2,True,2,12,12
2,True,2,4,14
1,False,0,1,4
2,False,0,4,14
2,False,1,5,14
2,False,1,7,11
1,False,0,3,-5
2,False,0,1,2
2,False,1,2,17
2,False,0,0,2
1,False,1,5,-6
2,False,0,4,2
1,False,0,0,0
2,False,5,17,9
2,False,0,3,-2
1,False,1,7,-3
1,False,1,11,-9
1,False,0,6,0
2,False,1,3,-6
2,False,1,10,12
2,False,1,3,17
2,False,1,3,5
2,False,0,3,8
1,False,2,9,12
2,False,1,5,15
2,True,3,13,9
1,False,0,2,2
2,False,0,1,3
2,True,2,10,13
2,False,1,7,11
1,False,0,1,3
2,False,1,8,2
2,False,1,10,13
2,False,0,1,3
2,False,0,0,2
2,False,0,4,2
1,False,3,10,11
1,False,0,2,16
2,False,0,5,4
2,False,0,1,0
2,False,0,2,-11
1,False,0,3,8
1,False,0,1,18
2,True,5,16,10
1,False,0,3,5
1,False,0,3,3
2,False,1,6,5
1,False,0,1,1
1,False,0,1,2
2,False,4,13,7
1,False,0,6,0
2,False,0,2,0
1,True,2,15,8
2,False,0,0,2
1,False,2,13,10
1,False,1,11,11
1,False,0,2,12
1,False,0,0,0
1,False,0,1,2
1,False,0,1,-3
1,False,0,1,18
1,False,0,5,15
1,False,1,6,1
1,False,0,0,0
1,False,3,16,-5
1,False,0,4,10
1,False,0,6,-12
1,False,1,4,16
2,False,0,5,-10
2,False,0,1,2
2,False,2,11,14
2,False,0,2,-4
2,False,0,0,5
1,False,3,14,8
1,False,0,4,12
1,False,0,7,-12
2,False,0,3,5
2,False,0,7,2
1,False,1,10,-8
1,False,0,3,1
2,False,1,7,14
2,False,1,5,14
1,False,0,0,1
2,False,0,1,5
1,False,0,1,-5
1,False,0,1,4
1,False,0,6,14
2,True,2,8,11
2,False,0,6,0
2,False,1,11,-9
2,False,0,5,-14
2,False,1,7,13
2,False,0,1,4
1,False,0,5,8
2,True,4,13,12
1,False,0,1,3
2,False,0,3,-11
2,False,0,1,3
2,False,0,0,-17
1,False,1,7,-4
1,False,0,3,4
1,False,2,10,0
2,False,2,7,12
2,False,0,1,3
2,False,2,8,-8
1,False,0,3,-2
1,False,0,1,4
1,False,1,6,-11
2,False,1,7,0
1,False,0,1,18
2,False,0,1,-2
1,False,0,0,0
2,False,2,16,9
2,False,0,1,5
1,False,0,1,5
1,False,0,1,4
2,False,0,6,-12
1,False,0,3,-2
2,False,0,0,4
2,True,5,17,9
2,False,1,6,15
2,False,0,1,0
2,False,0,2,4
2,False,0,0,2
1,False,0,1,18
1,False,2,12,-2
2,False,1,6,13
1,False,1,8,-2
2,False,0,3,-2
1,False,0,3,3
2,False,0,1,3
2,False,1,5,3
1,False,0,2,15
1,False,0,1,-2
2,False,0,0,1
1,False,0,1,18
1,False,0,1,3
1,False,0,5,13
1,False,0,1,0
1,False,2,7,13
2,False,0,1,-4
1,False,0,3,-11
2,False,1,8,-12
2,False,0,4,3
2,False,1,9,-3
1,True,3,13,9
1,False,0,1,2
2,False,0,0,1
2,False,0,3,4
1,False,0,1,0
2,False,0,2,-2
2,False,0,0,-2
1,False,4,14,11
2,False,0,9,-8
1,False,0,0,18
1,False,1,2,12
2,True,1,10,12
1,False,0,6,-13
2,False,0,0,2
2,True,3,11,12
1,True,3,13,11
1,False,0,6,13
2,False,0,0,2
1,False,2,9,8
2,False,1,7,-11
1,False,3,11,10
1,False,0,1,7
2,False,0,0,0
2,False,1,8,-1
1,False,0,4,2
2,False,1,5,17
1,False,3,9,11
2,False,3,13,-2
1,True,3,15,7
1,False,1,9,13
2,False,0,1,0
1,False,0,3,5
1,False,0,3,6
1,False,0,1,2
2,True,3,15,12
2,False,1,8,-10
1,False,1,2,18
1,False,0,4,0
2,False,0,1,1
2,False,0,1,-3
2,False,0,6,-10
1,False,0,3,16
2,False,1,2,15
2,False,0,3,-2
1,False,0,1,4
2,False,0,3,-5
2,False,0,0,0
1,False,1,11,12
1,False,7,22,0
1,False,1,7,4
1,False,0,0,-4
2,False,2,10,8
2,False,3,14,-9
1,False,1,3,4
1,False,0,1,2
2,True,3,12,9
1,False,2,16,1
2,False,0,0,0
2,False,0,0,2
1,False,0,1,17
1,False,0,0,1
1,False,0,3,2
2,False,0,9,0
2,False,1,2,17
1,False,0,3,3
1,False,0,0,-3
1,False,2,14,9
1,False,1,4,17
2,False,0,8,-4
2,False,2,12,-9
2,False,3,13,11
1,False,1,9,14
1,False,0,0,-2
1,False,0,5,15
1,False,0,12,-9
2,False,0,1,1
2,False,0,3,-12
2,False,2,9,12
1,False,0,3,-4
2,False,0,1,-2
2,True,1,4,12
1,False,0,0,4
2,False,0,5,-3
2,False,4,14,9
1,False,1,2,17
1,False,1,5,-4
1,True,2,10,12
1,True,4,14,11
1,False,1,6,-4
2,False,1,8,-10
2,False,3,17,8
2,False,0,1,3
2,False,0,1,18
1,False,0,1,-3
1,False,2,9,-4
1,False,0,5,9
2,True,6,16,10
1,False,0,3,4
1,False,0,4,16
1,False,0,2,-3
1,False,2,7,13
1,False,0,1,3
2,False,0,4,5
2,True,1,5,15
2,False,2,11,10
2,False,2,7,-4
2,False,0,3,2
1,False,0,1,2
1,False,0,0,2
1,False,0,1,18
1,False,2,11,9
2,False,1,6,13
1,False,0,1,5
1,False,0,2,4
1,False,1,2,3
2,False,1,8,2
2,True,2,9,12
1,False,1,4,15
1,False,0,1,-3
2,False,4,15,7
1,False,2,13,-1
2,False,0,1,-3
2,False,0,7,1
1,False,0,1,2
1,False,0,4,2
2,False,1,2,-2
2,False,1,3,16
2,False,0,3,-2
1,False,0,1,18
2,False,0,5,10
2,False,0,2,2
2,False,4,13,-8
2,False,0,0,4
1,False,3,11,13
2,False,0,0,-4
2,False,0,1,18
2,False,2,6,15
1,False,0,1,2
1,False,1,3,16
1,False,0,2,16
2,False,0,3,17
1,False,0,1,-2
2,True,1,7,13
2,True,2,11,10
1,False,3,18,-7
2,False,1,9,0
1,False,0,5,14
1,False,0,10,1
2,False,0,1,-2
1,True,5,16,10
1,False,1,7,-12
1,False,0,0,-3
1,False,1,7,15
1,False,2,12,10
2,False,5,19,0
2,False,0,2,-2
1,False,1,5,14
2,False,0,0,0
1,False,3,12,11
1,True,2,7,13
2,False,0,2,5
1,True,2,10,13
2,True,3,7,14
2,False,0,6,10
2,False,1,4,16
2,True,2,10,12
2,False,0,0,0
2,False,0,6,11
1,False,2,9,10
2,False,0,2,4
1,False,0,7,3
2,False,0,1,5
1,False,3,14,9
1,False,1,5,15
1,False,0,1,2
2,False,1,6,2
1,False,2,9,11
1,False,1,14,-2
1,False,0,3,-7
2,False,0,1,0
2,False,0,1,3
2,False,1,8,-4
1,False,3,12,11
2,False,0,6,-5
2,False,0,0,0
1,False,0,1,4
1,False,0,4,4
1,False,2,7,4
2,False,0,3,0
2,True,3,10,13
1,False,1,9,11
2,False,2,9,13
2,False,0,5,-3
2,False,0,1,0
1,False,0,1,0
1,False,2,9,10
1,True,3,11,12
2,False,0,6,-10
2,False,0,7,3
1,True,1,7,11
2,False,0,3,-11
1,False,1,4,17
1,False,0,3,-5
2,False,1,3,-12
1,False,0,2,0
2,False,0,0,2
1,False,3,14,9
2,True,3,13,10
1,False,1,5,16
1,False,1,6,-13
2,False,0,0,-3
1,False,0,3,17
1,True,6,18,11
1,False,1,6,-1
1,False,0,1,9
2,False,0,3,-4
1,False,0,3,15
1,False,3,17,7
1,False,2,10,10
2,False,0,11,-4
2,False,0,1,0
1,False,0,1,-3
1,False,0,1,2
2,False,0,1,-10
1,False,0,2,1
2,False,0,0,-1
1,False,0,12,-10
1,False,0,2,4
2,False,3,13,-1
2,False,1,5,-10
1,False,0,0,0
1,False,0,7,-13
1,False,0,5,5
2,False,0,0,4
1,False,0,1,3
1,False,2,14,7
1,False,0,3,-5
2,False,0,3,16
2,True,1,11,11
2,False,0,4,12
2,False,1,6,3
2,False,0,1,3
1,False,0,1,17
1,False,0,1,4
1,False,4,12,0
2,False,0,0,-3
2,False,0,5,-8
2,False,0,3,15
1,False,0,2,4
